train_number,train_name,source_station,source_code,destination_station,destination_code,departure_time,arrival_time,distance_km,duration_hours,duration_min,stops,class_type,fare
4601,Jammu Tawi Udhampur Special,JAMMU TAWI,JAT,UDHAMPUR,UHP,10.40.00,12.15.00,53,1,60,1,SL,51.8
4601,Jammu Tawi Udhampur Special,JAMMU TAWI,JAT,UDHAMPUR,UHP,10.40.00,12.15.00,53,1,60,1,3A,123.47
4601,Jammu Tawi Udhampur Special,JAMMU TAWI,JAT,UDHAMPUR,UHP,10.40.00,12.15.00,53,1,60,1,2A,199.12
4602,UDHAMPUR JAMMUTAWI DMU,UDHAMPUR,UHP,JAMMU TAWI,JAT,6.45.00,8.35.00,53,1,60,1,SL,51.8
4602,UDHAMPUR JAMMUTAWI DMU,UDHAMPUR,UHP,JAMMU TAWI,JAT,6.45.00,8.35.00,53,1,60,1,3A,123.47
4602,UDHAMPUR JAMMUTAWI DMU,UDHAMPUR,UHP,JAMMU TAWI,JAT,6.45.00,8.35.00,53,1,60,1,2A,199.12
4603,JAT UDAHMPUR DMU,JAMMU TAWI,JAT,UDHAMPUR,UHP,16.15.00,17.50.00,53,1,60,1,SL,51.8
4603,JAT UDAHMPUR DMU,JAMMU TAWI,JAT,UDHAMPUR,UHP,16.15.00,17.50.00,53,1,60,1,3A,123.47
4603,JAT UDAHMPUR DMU,JAMMU TAWI,JAT,UDHAMPUR,UHP,16.15.00,17.50.00,53,1,60,1,2A,199.12
4604,UDHAMPUR JAMMUTAWI DMU,UDHAMPUR,UHP,JAMMU TAWI,JAT,18.20.00,19.50.00,53,1,60,1,SL,51.8
4604,UDHAMPUR JAMMUTAWI DMU,UDHAMPUR,UHP,JAMMU TAWI,JAT,18.20.00,19.50.00,53,1,60,1,3A,123.47
4604,UDHAMPUR JAMMUTAWI DMU,UDHAMPUR,UHP,JAMMU TAWI,JAT,18.20.00,19.50.00,53,1,60,1,2A,199.12
4728,Mumbai BandraT-Bikaner SF Special,MUMBAI BANDRA TERMINUS,BDTS,BIKANER JN,BKN,14.35.00,12.30.00,1212,21,1260,15,SL,747.2
4728,Mumbai BandraT-Bikaner SF Special,MUMBAI BANDRA TERMINUS,BDTS,BIKANER JN,BKN,14.35.00,12.30.00,1212,21,1260,15,3A,1948.9
4728,Mumbai BandraT-Bikaner SF Special,MUMBAI BANDRA TERMINUS,BDTS,BIKANER JN,BKN,14.35.00,12.30.00,1212,21,1260,15,2A,3241.5
4741,Sirsa - Hisar Passenger Special,Sirsa,SSA,Hisar,HSR,22.50.00,0.25.00,82,1,60,1,SL,69.2
4741,Sirsa - Hisar Passenger Special,Sirsa,SSA,Hisar,HSR,22.50.00,0.25.00,82,1,60,1,3A,169.15
4741,Sirsa - Hisar Passenger Special,Sirsa,SSA,Hisar,HSR,22.50.00,0.25.00,82,1,60,1,2A,275.25
4742,Hisar - Sirsa Passenger Special,Hisar,HSR,Sirsa,SSA,4.20.00,6.10.00,82,1,60,1,SL,69.2
4742,Hisar - Sirsa Passenger Special,Hisar,HSR,Sirsa,SSA,4.20.00,6.10.00,82,1,60,1,3A,169.15
4742,Hisar - Sirsa Passenger Special,Hisar,HSR,Sirsa,SSA,4.20.00,6.10.00,82,1,60,1,2A,275.25
9022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),JAMMU TAWI,JAT,MUMBAI BANDRA TERMINUS,BDTS,9.30.00,17.50.00,1957,32,1920,24,SL,1194.2
9022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),JAMMU TAWI,JAT,MUMBAI BANDRA TERMINUS,BDTS,9.30.00,17.50.00,1957,32,1920,24,3A,3122.28
9022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),JAMMU TAWI,JAT,MUMBAI BANDRA TERMINUS,BDTS,9.30.00,17.50.00,1957,32,1920,24,2A,5197.12
11017,Chalukya Express,MUMBAI DADAR CENTRAL,DR,YESVANTPUR JN,YPR,21.30.00,21.55.00,1205,24,1440,15,SL,743
11017,Chalukya Express,MUMBAI DADAR CENTRAL,DR,YESVANTPUR JN,YPR,21.30.00,21.55.00,1205,24,1440,15,3A,1937.88
11017,Chalukya Express,MUMBAI DADAR CENTRAL,DR,YESVANTPUR JN,YPR,21.30.00,21.55.00,1205,24,1440,15,2A,3223.12
11019,Konark Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,BHUBANESWAR,BBS,15.10.00,4.25.00,1932,37,2220,24,SL,1179.2
11019,Konark Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,BHUBANESWAR,BBS,15.10.00,4.25.00,1932,37,2220,24,3A,3082.9
11019,Konark Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,BHUBANESWAR,BBS,15.10.00,4.25.00,1932,37,2220,24,2A,5131.5
11020,Konark Express,BHUBANESWAR,BBS,Chhatrapati Shivaji Maharaj Terminus,CSMT,15.20.00,3.55.00,1932,36,2160,24,SL,1179.2
11020,Konark Express,BHUBANESWAR,BBS,Chhatrapati Shivaji Maharaj Terminus,CSMT,15.20.00,3.55.00,1932,36,2160,24,3A,3082.9
11020,Konark Express,BHUBANESWAR,BBS,Chhatrapati Shivaji Maharaj Terminus,CSMT,15.20.00,3.55.00,1932,36,2160,24,2A,5131.5
11023,Sahyadri Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,C SHAHU M RAJ KOLHAPUR TERM,KOP,17.50.00,6.05.00,518,12,720,6,SL,330.8
11023,Sahyadri Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,C SHAHU M RAJ KOLHAPUR TERM,KOP,17.50.00,6.05.00,518,12,720,6,3A,855.85
11023,Sahyadri Express,Chhatrapati Shivaji Maharaj Terminus,CSMT,C SHAHU M RAJ KOLHAPUR TERM,KOP,17.50.00,6.05.00,518,12,720,6,2A,1419.75
11024,Sahyadri Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,Chhatrapati Shivaji Maharaj Terminus,CSMT,22.50.00,11.55.00,518,13,780,6,SL,330.8
11024,Sahyadri Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,Chhatrapati Shivaji Maharaj Terminus,CSMT,22.50.00,11.55.00,518,13,780,6,3A,855.85
11024,Sahyadri Express,C SHAHU M RAJ KOLHAPUR TERM,KOP,Chhatrapati Shivaji Maharaj Terminus,CSMT,22.50.00,11.55.00,518,13,780,6,2A,1419.75
11025,Manmad Pune Express(Via Nasik),MANMAD JN,MMR,PUNE JN,PUNE,4.30.00,12.05.00,364,7,420,5,SL,238.4
11025,Manmad Pune Express(Via Nasik),MANMAD JN,MMR,PUNE JN,PUNE,4.30.00,12.05.00,364,7,420,5,3A,613.3
11025,Manmad Pune Express(Via Nasik),MANMAD JN,MMR,PUNE JN,PUNE,4.30.00,12.05.00,364,7,420,5,2A,1015.5
11026,Pune Manmad Express,PUNE JN,PUNE,MANMAD JN,MMR,12.50.00,21.30.00,364,8,480,5,SL,238.4
